3909 1601625 282
3906 1601907 14062
3904 1615969 329
3903 1616298 309
3900 1616607 93885
3898 1710492 42229
3897 1752721 17173
3896 1769894 12226
3895 1782120 16868
3893 1798988 3707
3887 1802695 30003
3882 1832698 13206
3881 1845904 14122
3878 1860026 94236
3876 1954262 63854
3872 2018116 12981
3871 2031097 4106
3869 2035203 2859
3867 2038062 4508
3866 2042570 3428
3865 2045998 5535
3864 2051533 3809
3863 2055342 6573
3862 2061915 4080
3861 2065995 4298
3860 2070293 3455
3859 2073748 5564
3858 2079312 4192
3857 2083504 22041
3855 2105545 30123
3853 2135668 362
3852 2136030 25069
3850 2161099 13729
3845 2174828 13313
3844 2188141 14034
3842 2202175 8342
3841 2210517 6067
3840 2216584 2476
3839 2219060 9428
3838 2228488 7815
3837 2236303 10944
3836 2247247 15051
3835 2262298 2276
3834 2264574 2393
3833 2266967 33598
3831 2300565 3909
3828 2304474 12332
3826 2316806 15787
3824 2332593 43486
3819 2376079 4110
3814 2380189 1168
3813 2381357 2088
3812 2383445 1697
3811 2385142 1795
3810 2386937 2125
3809 2389062 2003
3808 2391065 7699
3807 2398764 1422
3806 2400186 1686
3805 2401872 3154
3804 2405026 7398
3803 2412424 14910
3802 2427334 1780
3801 2429114 1678
3800 2430792 2399
3799 2433191 974
3798 2434165 1658
3797 2435823 2212
3796 2438035 1745
3795 2439780 7893
3794 2447673 2967
3793 2450640 3380
3792 2454020 6169
3791 2460189 3562
3790 2463751 9101
3789 2472852 2639
3788 2475491 1888
3787 2477379 9360
3786 2486739 2696
3785 2489435 1684
3784 2491119 4620
3783 2495739 1811
3782 2497550 1613
3781 2499163 1002
3780 2500165 1645
3779 2501810 4748
3778 2506558 1285
3777 2507843 1916
3776 2509759 2895
3775 2512654 2533
3774 2515187 4615
3773 2519802 3033
3772 2522835 2314
3771 2525149 6973
3770 2532122 2703
3769 2534825 3636
3768 2538461 2462
3767 2540923 4779
3766 2545702 1651
3765 2547353 7297
3764 2554650 2249
3763 2556899 1653
3762 2558552 857
3761 2559409 926
3760 2560335 2481
3759 2562816 8111
3758 2570927 2509
3757 2573436 5507
3755 2578943 1869
3754 2580812 939
3753 2581751 1183
3752 2582934 5337
3751 2588271 1354
3749 2589625 7618
3748 2597243 4175
3747 2601418 3073
3746 2604491 3935
3744 2608426 397
3743 2608823 745
3742 2609568 1401
3741 2610969 751
3740 2611720 1599
3739 2613319 2147
3738 2615466 2595
3737 2618061 2948
3736 2621009 1986
3735 2622995 1339
3734 2624334 6425
3733 2630759 14980
3732 2645739 2257
3731 2647996 3701
3730 2651697 6475
3729 2658172 7142
3728 2665314 2012
3727 2667326 2062
3726 2669388 3418
3725 2672806 9037
3724 2681843 3687
3723 2685530 4502
3722 2690032 11271
3721 2701303 505
3720 2701808 409
3719 2702217 7582
3718 2709799 2866
3717 2712665 3227
3716 2715892 2005
3715 2717897 3686
3714 2721583 2396
